Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_001,0.87876,0.94282,0.91985,0.94914,0.92828,0.97786,0.99934,0.99901,0.99928,1.41421,2.23607,7.34847
BraTS20_Training_002,0.84867,0.82191,0.6086,0.87219,0.98181,0.97893,0.99986,0.99692,0.99782,1.0,10.81665,22.52108
BraTS20_Training_003,0.82895,0.6921,0.881,0.88259,0.67853,0.9078,0.99992,0.99905,0.99994,1.41421,8.12404,37.50999
BraTS20_Training_004,0.88855,0.91504,0.80028,0.92444,0.97523,0.86947,0.99973,0.99817,0.9991,1.73205,19.41649,47.06272
BraTS20_Training_005,0.67556,0.61303,0.72216,0.58706,0.52784,0.63123,0.99982,0.99952,0.99981,28.47806,39.10243,46.78675
BraTS20_Training_006,0.77158,0.93818,0.90401,0.6804,0.92789,0.84723,0.99977,0.9992,0.99986,3.0,2.0,3.31662
BraTS20_Training_007,0.89076,0.8646,0.92664,0.92807,0.91479,0.9232,0.99989,0.9991,0.99993,1.0,3.74166,13.00768
BraTS20_Training_008,0.85826,0.79889,0.12511,0.81503,0.91829,0.90643,0.99999,0.99857,0.99807,2.0,7.68115,17.5784
BraTS20_Training_009,0.83675,0.90362,0.84301,0.79366,0.9116,0.83348,0.99941,0.99778,0.99876,4.0,4.12311,9.43398
BraTS20_Training_010,0.88075,0.77981,0.83899,0.91565,0.89076,0.91936,0.99988,0.99802,0.99979,2.23607,13.92839,54.22637
BraTS20_Training_011,0.72388,0.87499,0.83241,0.99636,0.95999,0.96425,0.99951,0.99854,0.99959,2.82843,5.91608,4.58258
BraTS20_Training_012,0.85605,0.83145,0.87912,0.86422,0.7903,0.92669,0.9999,0.9996,0.99983,1.41421,16.76305,3.0
BraTS20_Training_013,0.71037,0.87595,0.8652,0.81159,0.88012,0.95535,0.99979,0.99932,0.99959,1.41421,11.14891,30.50901
BraTS20_Training_014,0.82927,0.86011,0.81791,0.86782,0.96839,0.89666,0.99954,0.99742,0.99908,1.73205,4.3589,9.43398
BraTS20_Training_015,0.86602,0.93665,0.77794,0.93779,0.96582,0.68581,0.99977,0.99863,0.99985,1.41421,2.82843,10.48809
BraTS20_Training_016,0.54107,0.89121,0.80396,0.72888,0.96636,0.86096,0.99859,0.99708,0.9987,4.58258,3.0,18.02776
