Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_001,0.88449,0.95061,0.95001,0.9725,0.93783,0.98928,0.99929,0.99914,0.99955,1.41421,1.73205,1.41421
BraTS20_Training_002,0.85754,0.8905,0.94578,0.94625,0.95908,0.98549,0.99981,0.99853,0.99983,1.0,4.58258,1.41421
BraTS20_Training_003,0.85933,0.7556,0.91469,0.8986,0.83229,0.92388,0.99994,0.99876,0.99996,1.41421,7.07107,1.41421
BraTS20_Training_004,0.89288,0.9351,0.95469,0.96677,0.98547,0.97174,0.99965,0.99857,0.99981,1.41421,4.24264,1.41421
BraTS20_Training_005,0.81047,0.8306,0.9182,0.84267,0.78851,0.88758,0.99971,0.99973,0.99993,1.73205,46.80812,1.41421
BraTS20_Training_006,0.85383,0.94425,0.94006,0.91738,0.94118,0.92272,0.99935,0.99917,0.9998,1.41421,1.73205,1.73205
BraTS20_Training_007,0.89357,0.88663,0.92925,0.92353,0.92477,0.92152,0.9999,0.99928,0.99993,1.0,3.0,14.76651
BraTS20_Training_008,0.85157,0.83861,0.85206,0.91908,0.91966,0.89254,0.99997,0.99897,0.99997,1.73205,5.38516,4.58256
BraTS20_Training_009,0.86141,0.93217,0.92203,0.97149,0.94282,0.96268,0.99837,0.99832,0.99892,3.0,2.44949,3.0
BraTS20_Training_010,0.89484,0.82615,0.91176,0.94253,0.90855,0.9441,0.99988,0.99854,0.9999,1.73205,4.12311,1.41421
BraTS20_Training_011,0.8114,0.88975,0.92528,0.9742,0.97497,0.9177,0.99972,0.99865,0.99992,1.73205,4.0,1.41421
BraTS20_Training_012,0.85914,0.85897,0.91952,0.91646,0.885,0.93973,0.99986,0.99937,0.9999,1.41421,4.0,1.54135
BraTS20_Training_013,0.74688,0.90042,0.91519,0.82298,0.89456,0.957,0.99983,0.99952,0.99978,1.0,5.0,2.0
BraTS20_Training_014,0.83981,0.89455,0.92454,0.93969,0.97683,0.94991,0.99939,0.99812,0.99968,1.73205,3.16228,1.41421
BraTS20_Training_015,0.87251,0.94712,0.89865,0.95446,0.97635,0.91141,0.99976,0.99878,0.99977,1.41421,2.0,2.23607
BraTS20_Training_016,0.57578,0.92044,0.92745,0.96378,0.96779,0.91751,0.99798,0.99805,0.99972,4.24264,2.23607,2.23607
BraTS20_Training_017,0.82223,0.91422,0.88698,0.96095,0.97718,0.92524,0.9997,0.99817,0.99973,2.0,3.0,2.23607
BraTS20_Training_018,0.72773,0.8129,0.69228,0.94454,0.90405,0.9558,0.99988,0.99837,0.99982,13.09576,3.74166,16.28496
BraTS20_Training_019,0.81937,0.88243,0.93534,0.92846,0.95009,0.95357,0.99963,0.999,0.9998,1.41421,3.74166,1.73205
BraTS20_Training_020,0.7362,0.94139,0.94944,0.92408,0.93941,0.94257,0.99819,0.99887,0.99942,1.41421,2.23607,2.0
BraTS20_Training_021,0.7329,0.8023,0.84367,0.74559,0.78737,0.77492,0.9999,0.99927,0.99996,4.0,5.0,2.0
BraTS20_Training_022,0.88475,0.9384,0.9517,0.93508,0.96869,0.94918,0.99964,0.99926,0.99984,1.41421,3.0,1.41421
BraTS20_Training_023,0.8544,0.90318,0.94927,0.87245,0.86446,0.9208,0.99979,0.99977,0.99996,1.41421,2.0,1.41421
BraTS20_Training_024,0.9083,0.87224,0.93088,0.95785,0.9743,0.95332,0.9996,0.99719,0.9997,1.41421,3.0,1.41421
BraTS20_Training_025,0.8973,0.92029,0.96673,0.94677,0.95724,0.98057,0.99968,0.99898,0.9998,1.0,3.0,1.0
BraTS20_Training_026,0.82623,0.94969,0.91044,0.9578,0.96249,0.97064,0.99904,0.99867,0.99937,2.0,2.0,2.0
BraTS20_Training_027,0.8638,0.79569,0.92032,0.9222,0.98533,0.95286,0.9996,0.9963,0.99966,1.41421,7.28011,3.16228
BraTS20_Training_028,0.75358,0.86301,0.87806,0.71501,0.80707,0.84481,0.99981,0.99985,0.99987,1.73205,3.74166,2.23607
BraTS20_Training_029,0.87699,0.91346,0.9363,0.96545,0.97673,0.97701,0.99985,0.99886,0.99991,1.41421,2.0,1.0
BraTS20_Training_030,0.84214,0.87239,0.86887,0.89185,0.88659,0.85248,0.99984,0.99835,0.9999,1.41421,2.82843,2.23607
BraTS20_Training_031,0.89225,0.90539,0.92928,0.94047,0.91019,0.95812,0.99958,0.999,0.99966,1.41421,3.4641,1.41421
BraTS20_Training_032,0.81952,0.88102,0.91542,0.8124,0.87234,0.88112,0.99982,0.99968,0.99991,1.41421,3.0,2.23607
BraTS20_Training_033,0.89424,0.95277,0.95297,0.9787,0.96379,0.97183,0.99962,0.99917,0.99982,1.41421,1.41421,1.41421
BraTS20_Training_034,0.87544,0.93153,0.95448,0.89345,0.96916,0.94509,0.9996,0.99884,0.99982,1.41421,2.23607,1.73205
BraTS20_Training_035,0.82034,0.89115,0.90944,0.93038,0.90284,0.91018,0.99908,0.9989,0.9995,1.41421,4.12311,2.82843
BraTS20_Training_036,0.86147,0.86862,0.88319,0.85405,0.93001,0.87167,0.99992,0.99965,0.99993,1.41421,2.44949,1.41421
BraTS20_Training_037,0.83372,0.93686,0.92675,0.96332,0.90392,0.97793,0.99941,0.99944,0.99963,1.73205,2.44949,4.94949
BraTS20_Training_038,0.8546,0.92962,0.92124,0.94188,0.95156,0.95681,0.99923,0.99891,0.9995,1.41421,2.23607,2.0
BraTS20_Training_039,0.8619,0.88834,0.91507,0.87806,0.97674,0.91808,0.99977,0.9987,0.99981,1.73205,3.0,2.23607
BraTS20_Training_040,0.89496,0.93872,0.95761,0.91494,0.93521,0.9575,0.99959,0.99888,0.99977,1.41421,2.0,1.41421
BraTS20_Training_041,0.81585,0.94247,0.94101,0.95415,0.9759,0.95054,0.99934,0.99891,0.99973,1.41421,1.41421,1.73205
BraTS20_Training_042,0.88284,0.94552,0.96528,0.91362,0.98072,0.96308,0.99963,0.9992,0.99985,1.0,1.41421,1.0
BraTS20_Training_043,0.67425,0.84776,0.88728,0.75686,0.80547,0.89632,0.99986,0.9996,0.99989,2.17705,4.24264,2.23607
BraTS20_Training_044,0.78237,0.76349,0.79417,0.80453,0.714,0.75083,0.99996,0.99966,0.99997,1.73205,51.40768,4.12311
BraTS20_Training_045,0.89253,0.94706,0.95665,0.95993,0.9698,0.97967,0.99914,0.99914,0.99956,1.41421,1.41421,1.41421
BraTS20_Training_046,0.74748,0.67095,0.79352,0.84525,0.53186,0.8546,0.99994,0.99978,0.99995,3.60555,10.63015,4.0
BraTS20_Training_047,0.87413,0.91659,0.95388,0.92825,0.87738,0.95021,0.9993,0.99944,0.9997,1.0,4.3589,1.41421
