Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_001,0.77469,0.90884,0.71839,0.91976,0.90766,0.98916,0.99858,0.99782,0.99628,3.74166,6.7082,17.36375
BraTS20_Training_002,0.59143,0.67657,0.42865,0.65537,0.97493,0.98822,0.99959,0.99314,0.99538,39.67367,49.25444,62.44197
BraTS20_Training_003,0.61059,0.4623,0.48258,0.89826,0.62787,0.91906,0.99965,0.99635,0.99921,78.0282,64.93843,77.9394
BraTS20_Training_004,0.75777,0.81613,0.575,0.87553,0.98182,0.93739,0.99924,0.99502,0.99608,55.98214,49.6991,65.91434
BraTS20_Training_005,0.4963,0.47269,0.63992,0.39162,0.40769,0.4771,0.99977,0.99922,0.99998,30.43025,59.95081,31.95544
BraTS20_Training_006,0.63979,0.87929,0.69132,0.54075,0.88864,0.56718,0.99958,0.9979,0.99963,5.47723,4.24264,9.43398
BraTS20_Training_007,0.74993,0.79042,0.8016,0.88326,0.87421,0.92435,0.99967,0.99849,0.99959,2.23607,6.08276,7.34847
BraTS20_Training_008,0.70028,0.75104,0.20761,0.81998,0.84414,0.83918,0.99993,0.99848,0.99904,15.0863,41.2068,17.51713
BraTS20_Training_009,0.78221,0.88366,0.79657,0.78902,0.8988,0.86198,0.99869,0.99716,0.9974,4.12311,5.0,8.48528
BraTS20_Training_010,0.73829,0.66744,0.71074,0.94377,0.75326,0.9531,0.99956,0.99747,0.99943,43.78868,47.04253,58.70264
BraTS20_Training_011,0.66156,0.83937,0.79429,0.96519,0.95605,0.94941,0.99938,0.998,0.99949,3.0,6.40312,4.69042
BraTS20_Training_012,0.72327,0.74887,0.77183,0.90273,0.7753,0.95906,0.9996,0.99894,0.99951,4.15299,31.27299,45.25483
BraTS20_Training_013,0.42724,0.80148,0.7981,0.44962,0.83575,0.9109,0.9997,0.9987,0.99939,5.19615,23.25941,36.578
BraTS20_Training_014,0.70978,0.81543,0.64155,0.8355,0.95161,0.91984,0.99894,0.99652,0.99706,4.0,11.22497,14.31782
BraTS20_Training_015,0.74505,0.91091,0.6988,0.84259,0.9691,0.68524,0.99958,0.99774,0.99945,2.82843,3.74166,7.87401
BraTS20_Training_016,0.44715,0.80319,0.68104,0.8822,0.94814,0.84149,0.99698,0.99403,0.99709,8.3666,38.94868,45.39824
BraTS20_Training_017,0.66907,0.83352,0.56016,0.79687,0.97226,0.87304,0.99953,0.99588,0.99795,9.43927,7.54983,19.53842
BraTS20_Training_018,0.48779,0.66909,0.34205,0.79528,0.76185,0.84136,0.99972,0.99738,0.9993,13.18901,9.0,15.93738
BraTS20_Training_019,0.62526,0.79461,0.78173,0.85091,0.90817,0.95352,0.99904,0.99814,0.99888,3.74166,48.22136,9.64365
BraTS20_Training_020,0.54754,0.8736,0.81373,0.56917,0.85598,0.71514,0.99843,0.99792,0.99943,3.60555,5.38516,7.34847
BraTS20_Training_021,0.29972,0.49685,0.30125,0.30436,0.55383,0.30728,0.99976,0.9972,0.99953,52.61321,49.82971,57.63679
BraTS20_Training_022,0.75116,0.84962,0.81672,0.87273,0.97484,0.93681,0.99908,0.99754,0.99877,25.33772,29.88311,44.73366
BraTS20_Training_023,0.3849,0.73395,0.6263,0.26616,0.60843,0.45738,0.99986,0.99977,0.99999,7.07107,5.09902,7.0
BraTS20_Training_024,0.79746,0.79455,0.70113,0.93103,0.97389,0.96523,0.99894,0.99483,0.99748,4.24264,7.68115,13.34166
BraTS20_Training_025,0.69907,0.85862,0.88026,0.66328,0.94718,0.88095,0.99954,0.99785,0.9995,3.0,16.14155,3.16228
BraTS20_Training_026,0.61565,0.90728,0.6559,0.66886,0.94536,0.81331,0.99866,0.99714,0.99738,7.07107,4.24264,10.43311
BraTS20_Training_027,0.69966,0.63628,0.70155,0.7241,0.99223,0.92661,0.99935,0.99153,0.99796,4.0,13.30414,10.63015
BraTS20_Training_028,0.41642,0.76089,0.62753,0.30977,0.73174,0.50183,0.99982,0.99955,0.99984,6.40312,7.28011,5.09902
BraTS20_Training_029,0.68151,0.8227,0.55382,0.98281,0.94961,0.99324,0.99942,0.99748,0.99868,71.83314,52.78257,70.34913
BraTS20_Training_030,0.62546,0.70864,0.42252,0.56936,0.67063,0.51741,0.99983,0.99749,0.99918,30.67572,12.68858,39.9124
BraTS20_Training_031,0.76464,0.83249,0.77534,0.77239,0.87085,0.83914,0.99939,0.99781,0.99895,3.0,11.73455,6.40312
