Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_001,0.86478,0.92977,0.93567,0.94813,0.89246,0.97626,0.99924,0.99934,0.99946,1.73205,4.12311,3.74166
BraTS20_Training_002,0.80126,0.83354,0.86555,0.85265,0.9722,0.97511,0.9998,0.99727,0.99951,2.0,24.72243,18.78829
BraTS20_Training_003,0.84552,0.65248,0.90801,0.92562,0.89096,0.94452,0.99991,0.99719,0.99994,1.41421,57.91373,1.41421
BraTS20_Training_004,0.87635,0.90421,0.90952,0.93038,0.96984,0.87856,0.99966,0.99794,0.99984,2.23607,47.92755,4.12311
BraTS20_Training_005,0.679,0.57694,0.7726,0.60412,0.51432,0.6406,0.99979,0.99934,0.99997,11.44552,67.21458,13.45362
BraTS20_Training_006,0.7801,0.92424,0.85448,0.81789,0.88547,0.75729,0.99922,0.99952,0.99992,2.23607,3.31662,5.09902
BraTS20_Training_007,0.87356,0.87275,0.9202,0.89625,0.94313,0.91765,0.99989,0.99902,0.99992,1.41421,3.74166,10.89945
BraTS20_Training_008,0.76775,0.81419,0.63987,0.75888,0.9353,0.87281,0.99997,0.99864,0.99987,15.66843,8.12404,15.29379
BraTS20_Training_009,0.83989,0.90766,0.87925,0.80778,0.90695,0.83685,0.99934,0.99808,0.99942,3.16228,4.47214,6.0
BraTS20_Training_010,0.88247,0.7967,0.89558,0.88274,0.82423,0.88719,0.99991,0.99877,0.99993,2.23607,15.3948,2.82843
BraTS20_Training_011,0.69466,0.8809,0.88103,0.99723,0.97439,0.9709,0.99943,0.99852,0.99973,4.12311,4.3589,4.3589
BraTS20_Training_012,0.82854,0.86347,0.90542,0.82036,0.83579,0.92488,0.99989,0.99964,0.99989,1.73205,9.69536,6.11475
BraTS20_Training_013,0.71371,0.88211,0.92747,0.80639,0.84702,0.91448,0.9998,0.99962,0.99991,1.41421,6.16441,1.41421
BraTS20_Training_014,0.81819,0.88749,0.87953,0.90512,0.96613,0.94294,0.99937,0.99808,0.99938,1.73205,4.0,4.12311
BraTS20_Training_015,0.84422,0.94432,0.79595,0.94457,0.94424,0.67777,0.9997,0.99921,0.99995,2.0,2.23607,7.2111
BraTS20_Training_016,0.53486,0.90965,0.83183,0.91927,0.97726,0.74765,0.99778,0.99752,0.99977,6.7082,2.23607,5.74456
BraTS20_Training_017,0.78636,0.90389,0.86808,0.97245,0.97314,0.86787,0.9996,0.99794,0.99978,1.73205,3.74166,3.0
BraTS20_Training_018,0.63631,0.754,0.67975,0.95221,0.9424,0.9612,0.9998,0.99717,0.9998,25.06389,6.40312,25.76041
BraTS20_Training_019,0.76376,0.86703,0.91636,0.93733,0.9263,0.91235,0.99943,0.99896,0.99982,2.23607,6.55744,3.0
BraTS20_Training_020,0.71425,0.89574,0.84692,0.83105,0.84202,0.74547,0.99847,0.99924,0.9998,1.73205,4.89898,7.14143
BraTS20_Training_021,0.62049,0.69828,0.82148,0.85315,0.72144,0.7975,0.9997,0.99857,0.99991,33.0,39.66106,32.9325
BraTS20_Training_022,0.85706,0.92976,0.93045,0.92816,0.97915,0.92865,0.99951,0.99902,0.99977,1.73205,3.0,2.44949
BraTS20_Training_023,0.82109,0.88596,0.93689,0.83734,0.83,0.89404,0.99975,0.9998,0.99997,1.41421,3.0,1.41421
