Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_001,0.82404,0.87411,0.92011,0.90743,0.81764,0.97186,0.99908,0.99871,0.99932,2.23607,6.08276,2.44949
BraTS20_Training_002,0.68711,0.82357,0.79414,0.90334,0.91312,0.99064,0.99947,0.9977,0.99911,2.0,5.0,5.65685
BraTS20_Training_003,0.79373,0.61379,0.8808,0.9036,0.54091,0.92683,0.99988,0.99926,0.99993,2.0,7.87401,1.73205
BraTS20_Training_004,0.81518,0.90521,0.90995,0.88398,0.92696,0.89167,0.9995,0.99858,0.9998,2.23607,4.12311,2.82843
BraTS20_Training_005,0.57569,0.63676,0.7108,0.48656,0.48272,0.55663,0.99975,0.99992,0.99998,7.14143,6.7082,8.12404
BraTS20_Training_006,0.7322,0.87495,0.80353,0.75568,0.82252,0.69496,0.99914,0.99909,0.99982,3.60555,5.0,6.08276
BraTS20_Training_007,0.78124,0.82219,0.86165,0.90713,0.8633,0.93743,0.99971,0.99894,0.99974,2.23607,3.74166,10.78191
BraTS20_Training_008,0.79173,0.7597,0.8215,0.85384,0.79391,0.83772,0.99996,0.99889,0.99997,3.16228,5.38516,2.23607
BraTS20_Training_009,0.77589,0.85724,0.86034,0.72112,0.83112,0.81942,0.99921,0.99774,0.99926,3.60555,4.47214,5.09902
BraTS20_Training_010,0.84125,0.7124,0.87071,0.91364,0.80835,0.92822,0.99981,0.99769,0.99984,2.23607,4.89898,2.23607
BraTS20_Training_011,0.68122,0.85659,0.8801,0.94545,0.89244,0.94256,0.99946,0.99881,0.99977,2.82843,4.58258,2.82843
BraTS20_Training_012,0.77391,0.81861,0.89403,0.85702,0.7767,0.93635,0.99976,0.99956,0.99985,2.0,16.30951,2.0
BraTS20_Training_013,0.51071,0.81313,0.81351,0.60188,0.77304,0.76574,0.99966,0.99933,0.99981,2.71475,6.48074,4.12311
BraTS20_Training_014,0.74636,0.85828,0.86305,0.82953,0.91838,0.87874,0.99919,0.99799,0.99951,2.23607,4.3589,3.0
BraTS20_Training_015,0.77415,0.90396,0.77487,0.88758,0.8747,0.69774,0.99959,0.99914,0.9998,2.23607,3.74166,7.0
BraTS20_Training_016,0.47445,0.8246,0.8703,0.9043,0.84716,0.82854,0.99721,0.997,0.99965,6.40312,6.7082,3.31662
BraTS20_Training_017,0.72741,0.87482,0.85815,0.92135,0.9074,0.84769,0.9995,0.99809,0.99979,2.44949,3.60555,3.0
BraTS20_Training_018,0.44546,0.65022,0.44363,0.98053,0.74028,0.98477,0.99954,0.99727,0.99944,14.25657,7.2111,14.2881
BraTS20_Training_019,0.66041,0.85519,0.90199,0.8503,0.86613,0.89405,0.9992,0.99921,0.9998,2.82843,3.74166,2.44949
